player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Erling Haaland,Man City,FWD,15.5,239,0,6.8,70.4,27,8,2953,13,32,0,0,1,0,2,0,43,1180.4,320.1,1520.0,302.3,0.0,0,0.0,15.4,0,0,0,0,0.0,0.0,0.0,0.0,25.5,2.67,28.17,38.6,34,15,48,41,104,3.17,,2,1,111,6,1,1,2,1,,,,,1.0,,0.78,0.0,0.08,0.86,1.18,0.98,1,1,592,70,2,1,1,1,1.04,0.4
Bruno B.Fernandes,Man Utd,MID,12.0,235,0,6.7,49.0,9,24,3065,7,46,0,0,2,0,5,0,41,1258.0,1938.5,614.0,381.4,0.0,0,0.0,19.6,0,0,0,0,0.0,0.0,0.0,0.0,10.79,12.28,23.07,44.42,35,53,67,167,287,8.43,,1,1,1,1,29,15,1,1,1.0,,1.0,,1.0,,0.32,0.0,0.36,0.68,1.3,1.35,2,1,591,261,3,1,3,1,1.03,0.21
Gabriel Gabriel,Arsenal,DEF,8.0,209,0,6.5,28.7,3,5,2750,18,20,0,0,0,0,4,0,30,824.0,128.5,298.0,125.0,0.0,0,0.0,26.1,0,0,0,0,0.0,0.0,0.0,0.0,2.94,1.75,4.69,22.01,30,38,239,64,277,9.07,,25,9,219,61,101,15,80,18,,,,,,,0.1,0.0,0.06,0.16,0.72,0.65,9,1,583,195,4,1,7,1,0.98,0.59
Antoine Semenyo,Man City,MID,8.5,202,0,5.5,26.4,17,6,3200,12,52,0,0,1,0,7,0,18,923.2,607.4,1047.0,257.7,0.0,0,0.0,23.8,0,0,0,0,0.0,0.0,0.0,0.0,11.1,3.12,14.21,47.67,37,45,49,142,236,6.64,,10,2,32,31,4,1,5,4,,,,,3.0,,0.31,0.0,0.09,0.4,1.34,1.46,6,4,587,258,5,2,11,5,1.04,0.34
Morgan Gibbs-White,Nott'm Forest,MID,8.0,188,0,5.1,11.9,15,4,3101,10,45,0,0,0,0,1,0,18,843.8,747.7,836.0,242.5,0.0,0,0.0,23.5,0,0,0,0,0.0,0.0,0.0,0.0,10.81,2.91,13.72,49.7,35,20,48,110,178,5.17,,21,6,19,18,9,4,7,5,,,1.0,,2.0,,0.31,0.0,0.08,0.39,1.44,1.31,8,5,582,255,11,5,35,11,1.02,0.29
Declan Rice,Arsenal,MID,7.5,184,0,5.1,19.9,4,9,3093,18,25,0,0,0,0,3,0,23,827.2,1027.4,298.0,215.4,0.0,0,0.0,24.5,0,0,0,0,0.0,0.0,0.0,0.0,3.15,7.32,10.47,23.87,35,69,127,180,376,10.94,,24,8,4,4,100,63,14,11,1.0,,1.0,,,,0.09,0.0,0.21,0.3,0.69,0.73,13,8,571,249,9,4,18,6,1.02,0.52
Igor Thiago Thiago,Brentford,FWD,8.0,181,0,4.8,17.7,22,1,3282,10,50,0,0,1,0,7,0,22,1019.4,382.5,1170.0,256.9,0.0,0,0.0,22.6,0,0,0,0,0.0,0.0,0.0,0.0,20.6,1.83,22.43,53.17,37,37,84,93,214,5.87,,5,2,88,3,3,3,6,2,,,,,1.0,,0.56,0.0,0.05,0.61,1.46,1.37,12,4,586,68,15,3,23,4,1.01,0.27
Elliot Anderson,Man City,MID,6.5,180,0,4.7,9.5,4,5,3332,10,50,0,0,0,0,8,0,16,915.2,961.5,310.0,219.0,0.0,0,0.0,27.7,0,0,0,0,0.0,0.0,0.0,0.0,2.94,4.79,7.73,53.65,37,103,106,306,515,13.91,,11,3,6,6,95,60,12,9,2.0,,,,,,0.08,0.0,0.13,0.21,1.45,1.35,36,24,543,227,21,10,47,17,1.0,0.27
Marc Guéhi,Man City,DEF,6.0,179,0,5.1,20.1,3,5,3150,14,35,0,0,0,0,6,0,14,901.6,304.6,402.0,160.9,0.0,0,0.0,29.8,0,0,0,0,0.0,0.0,0.0,0.0,4.05,2.37,6.42,44.58,35,46,232,139,278,7.94,,13,5,125,29,65,6,44,8,,,,,,,0.12,0.0,0.07,0.19,1.27,1.0,69,6,496,187,8,2,17,6,1.0,0.4
João Pedro João Pedro,Chelsea,FWD,7.5,177,0,5.1,60.1,15,9,2658,10,36,0,0,0,0,5,0,30,758.4,456.6,909.0,212.1,0.0,0,0.0,23.6,0,0,0,0,0.0,0.0,0.0,0.0,14.91,1.96,16.87,37.25,31,27,39,72,138,4.67,,35,3,59,1,6,5,15,4,,,,,,,0.5,0.0,0.07,0.57,1.26,1.22,19,7,577,65,10,2,2,2,1.05,0.34
Marcos Senesi,Spurs,DEF,6.0,175,0,4.7,9.5,0,6,3288,11,53,0,0,0,0,8,0,14,1114.4,367.8,201.0,168.6,0.0,0,0.0,29.2,0,0,0,0,0.0,0.0,0.0,0.0,1.53,4.72,6.25,54.77,37,62,357,155,419,11.47,,4,2,91,22,156,40,34,4,,,,,,,0.04,0.0,0.13,0.17,1.5,1.45,73,7,500,188,18,6,48,17,1.01,0.3
Virgil Virgil,Liverpool,DEF,6.5,175,0,4.6,17.9,6,1,3420,10,53,0,0,0,0,4,0,10,1169.4,215.9,490.0,187.6,0.0,0,0.0,26.9,0,0,0,0,0.0,0.0,0.0,0.0,3.77,1.44,5.21,47.63,38,23,329,87,352,9.26,,3,1,154,38,44,2,27,1,,,,,,,0.1,0.0,0.04,0.14,1.25,1.39,31,2,538,192,24,9,22,8,1.0,0.26
James Tarkowski,Everton,DEF,6.0,170,0,4.6,9.5,2,3,3330,11,48,0,0,0,0,8,0,12,995.6,235.6,422.0,165.7,0.0,0,0.0,28.3,0,0,0,0,0.0,0.0,0.0,0.0,2.53,2.1,4.63,53.54,37,51,325,90,376,10.16,,6,3,146,35,57,3,38,5,,,,,,,0.07,0.0,0.06,0.13,1.45,1.3,56,5,483,186,23,8,49,18,1.0,0.3
Morgan Rogers,Chelsea,MID,7.5,169,0,4.6,26.6,10,8,3280,9,48,0,0,0,0,7,0,17,746.2,706.2,871.0,232.0,0.0,0,0.0,22.5,0,0,0,0,0.0,0.0,0.0,0.0,6.84,4.32,11.16,51.55,37,42,49,139,230,6.31,,37,10,24,23,8,3,8,6,4.0,,,,,,0.19,0.0,0.12,0.31,1.41,1.32,16,9,574,250,25,11,10,4,1.02,0.25
Harry Wilson,Leeds,MID,6.5,168,0,4.7,7.2,10,9,2674,9,38,0,0,0,0,7,0,21,707.2,661.1,601.0,196.9,0.0,0,0.0,25.8,0,0,0,0,0.0,0.0,0.0,0.0,5.88,4.77,10.65,40.14,32,29,66,82,177,5.96,,46,12,28,27,31,17,24,20,2.0,,,,,,0.2,0.0,0.16,0.36,1.35,1.28,33,21,540,224,20,9,58,20,1.08,0.3
Ollie Watkins,Aston Villa,FWD,8.0,167,0,4.5,12.3,16,4,2833,9,38,0,0,0,0,4,0,26,720.2,330.9,1206.0,225.2,0.0,0,0.0,20.9,0,0,0,0,0.0,0.0,0.0,0.0,15.4,1.18,16.58,43.39,33,22,23,49,94,2.99,,42,4,107,5,2,2,11,3,,,,,2.0,,0.49,0.0,0.04,0.53,1.38,1.21,7,3,581,67,29,5,32,7,1.05,0.29
Adrien Truffert,Bournemouth,DEF,5.5,165,0,4.3,4.9,1,6,3378,11,51,0,0,0,0,5,0,19,857.0,574.2,194.0,162.6,0.0,0,0.0,30.0,0,0,0,0,0.0,0.0,0.0,0.0,1.35,3.07,4.42,54.42,38,102,199,188,301,8.02,,19,7,37,2,160,43,43,7,,,,,,,0.04,0.0,0.08,0.12,1.45,1.36,191,28,450,179,39,15,72,27,1.01,0.29
David Raya,Arsenal,GKP,6.0,162,0,4.4,34.3,0,0,3330,19,26,0,0,0,60,1,0,11,541.6,33.5,0.0,57.5,0.0,0,0.0,27.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,27.56,37,1,37,304,0,0.0,,96,16,304,3,582,66,229,16,,,,,,,0.0,1.62,0.0,0.0,0.74,0.7,60,1,487,66,32,3,5,1,1.0,0.51
Dominik Szoboszlai,Liverpool,MID,7.0,160,0,4.4,41.3,6,7,3232,9,52,0,0,1,0,8,1,21,867.8,1324.6,417.0,260.9,0.0,0,0.0,22.9,0,0,0,0,0.0,0.0,0.0,0.0,4.76,6.83,11.59,45.63,36,56,96,186,338,9.41,,18,5,2,2,58,34,4,3,1.0,,1.0,,2.0,,0.13,0.0,0.19,0.32,1.27,1.45,27,18,567,247,35,14,4,2,1.0,0.25
Nico O'Reilly,Man City,DEF,6.5,160,0,4.7,21.5,5,4,2643,14,25,0,0,0,0,5,0,10,653.8,413.9,573.0,164.1,0.0,0,0.0,24.6,0,0,0,0,0.0,0.0,0.0,0.0,6.12,2.67,8.79,34.97,29,67,105,108,172,5.86,,61,26,70,17,36,1,40,6,,,,,,,0.21,0.0,0.09,0.3,1.19,0.85,49,4,556,194,22,7,15,5,0.99,0.48
James Garner,Everton,MID,6.0,159,0,4.2,0.3,2,7,3413,11,50,0,0,0,0,12,0,13,887.0,958.0,237.0,208.4,0.0,0,0.0,26.5,0,0,0,0,0.0,0.0,0.0,0.0,2.1,6.18,8.28,56.18,38,119,154,185,458,12.08,Groin injury - Expected back 22 Aug,14,4,7,7,125,71,17,13,1.0,,1.0,,3.0,,0.06,0.0,0.16,0.22,1.48,1.32,75,48,502,198,42,18,307,102,1.0,0.29
Bukayo Saka,Arsenal,MID,9.5,157,0,5.1,9.6,7,10,2218,12,16,0,0,0,0,2,0,18,627.0,847.6,828.0,230.6,0.0,0,0.0,16.5,0,0,0,0,0.0,0.0,0.0,0.0,7.57,7.16,14.73,15.57,25,40,28,116,184,7.47,,68,20,12,11,11,6,10,8,2.0,,2.0,,1.0,,0.31,0.0,0.29,0.6,0.63,0.65,3,2,589,259,12,6,46,16,1.01,0.49
Enzo Enzo,Chelsea,MID,7.0,157,0,4.4,5.3,10,5,3114,8,46,0,0,0,0,10,0,19,835.6,1063.2,747.0,264.6,0.0,0,0.0,22.4,0,0,0,0,0.0,0.0,0.0,0.0,11.26,7.26,18.52,44.89,35,53,51,140,244,7.05,,23,7,3,3,20,9,3,2,3.0,,2.0,,2.0,,0.33,0.0,0.21,0.54,1.3,1.33,29,19,569,248,36,15,68,25,1.01,0.23
Matheus Matheus N.,Man City,DEF,6.0,154,0,4.5,3.1,1,8,2861,12,28,0,0,0,0,5,0,16,696.0,545.0,131.0,137.6,0.0,0,0.0,25.7,0,0,0,0,0.0,0.0,0.0,0.0,0.34,2.23,2.57,34.89,32,57,138,166,195,6.13,Knock - 75% chance of playing,48,20,42,4,205,55,66,12,,,,,5.0,,0.01,0.0,0.07,0.08,1.1,0.88,90,10,517,191,26,10,101,38,1.01,0.38
